Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,DiferençaDeGolos,Pontos,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Assistências,Golos+Assistências,ConduçõesProgressivas,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,PassesChave,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos,GolosSofridos,GolosEsperadosAssistidos,GolosEsperadosSemPenáltis,PassesProgressivos
Chaves,34,12,10,12,35,-5,46,54.8,-9.9,17,51,521.0,10,29.4,79.8,168.0,49.4,9.4,55.0,443.0,140.0,31.6,44.9,77.2,211796.0,86357.0,17.0,325.0,14227.0,50.0,110.0,786.0,23.12,55.0,1.62,477.0,336.0,428.0,813.0,739.0,46.3,18162.0,521.0,1204.0,-5.0,-0.15,-9.9,-0.29,49.1,2022-2023,34.0,40,26.9,37.1,1209.0
Famalicão,34,13,5,16,39,-8,44,48.0,-10.4,31,68,515.0,10,29.4,74.4,156.0,44.4,-0.6,33.0,425.0,115.0,27.1,37.6,78.0,224596.0,85561.0,31.0,323.0,14900.0,39.0,179.0,746.0,21.94,70.0,2.06,587.0,330.0,396.0,917.0,717.0,47.1,18864.0,515.0,1089.0,-8.0,-0.24,-10.4,-0.31,49.1,2022-2023,37.0,47,29.1,33.7,1096.0
Boavista,34,12,8,14,43,-11,44,47.7,-7.0,35,78,518.0,6,17.6,65.7,143.0,52.7,0.7,25.0,365.0,118.0,32.3,40.8,77.8,221552.0,81190.0,35.0,275.0,15388.0,41.0,123.0,643.0,18.91,82.0,2.41,562.0,362.0,282.0,924.0,636.0,48.4,18985.0,518.0,1076.0,-11.0,-0.32,-7.0,-0.2,43.3,2022-2023,43.0,54,28.8,37.6,1087.0
Casa Pia,34,11,8,15,31,-9,41,48.6,-10.9,20,49,503.0,11,32.4,77.0,152.0,47.6,9.6,30.0,378.0,112.0,29.6,37.6,75.7,189632.0,74859.0,20.0,291.0,13947.0,42.0,64.0,655.0,19.26,51.0,1.5,551.0,350.0,414.0,901.0,709.0,42.0,17817.0,503.0,1049.0,-9.0,-0.26,-10.9,-0.32,46.4,2022-2023,29.0,40,27.6,34.5,1062.0
Vizela,34,11,7,16,34,-4,40,41.7,0.6,24,54,419.0,11,32.4,77.7,139.0,39.9,2.9,36.0,406.0,148.0,36.5,42.2,75.0,190235.0,80839.0,24.0,295.0,14729.0,55.0,83.0,680.0,20.0,49.0,1.44,558.0,381.0,370.0,939.0,817.0,45.5,18528.0,419.0,1143.0,-4.0,-0.12,0.6,0.02,47.7,2022-2023,30.0,38,30.5,40.0,1150.0
Rio Ave,34,10,10,14,36,-7,40,48.7,-13.0,29,64,523.0,10,29.4,72.7,154.0,46.2,6.2,31.0,380.0,116.0,30.5,35.8,79.7,239467.0,86039.0,29.0,280.0,15875.0,40.0,156.0,682.0,20.06,65.0,1.91,542.0,298.0,390.0,840.0,700.0,48.6,19719.0,523.0,1141.0,-7.0,-0.21,-13.0,-0.38,46.8,2022-2023,35.0,43,26.5,30.9,1148.0
Gil Vicente FC,34,10,7,17,32,-9,37,54.8,-9.6,19,50,576.0,8,23.5,78.4,176.0,51.9,10.9,60.0,436.0,136.0,31.2,45.2,79.6,253577.0,94737.0,19.0,314.0,17360.0,82.0,162.0,779.0,22.91,51.0,1.5,539.0,306.0,369.0,845.0,593.0,53.7,21140.0,576.0,1419.0,-9.0,-0.26,-9.6,-0.28,51.8,2022-2023,31.0,41,29.1,39.0,1428.0
Estoril,34,10,5,19,33,-16,35,59.0,-25.5,26,59,500.0,8,23.5,75.9,162.0,56.6,8.6,32.0,351.0,111.0,31.6,33.4,77.7,219402.0,76986.0,26.0,246.0,14168.0,43.0,202.0,592.0,17.41,59.0,1.74,513.0,250.0,333.0,763.0,647.0,47.6,17835.0,500.0,1010.0,-16.0,-0.47,-25.5,-0.75,46.9,2022-2023,33.0,49,22.3,30.3,1015.0
Portimonense,34,10,4,20,25,-23,34,56.1,-16.3,15,40,389.0,8,23.5,76.9,199.0,59.6,12.6,37.0,389.0,114.0,29.3,39.8,76.0,222400.0,87088.0,15.0,300.0,15159.0,42.0,104.0,694.0,20.41,45.0,1.32,532.0,339.0,399.0,871.0,722.0,48.9,19075.0,389.0,1060.0,-23.0,-0.68,-16.3,-0.48,55.1,2022-2023,25.0,48,27.7,34.3,1072.0
Marítimo,34,7,5,22,32,-31,26,56.1,-12.7,21,52,486.0,5,14.7,66.5,167.0,62.6,0.6,49.0,465.0,125.0,26.9,43.4,75.9,216660.0,83688.0,21.0,341.0,14487.0,24.0,131.0,801.0,23.56,51.0,1.5,594.0,334.0,344.0,928.0,554.0,48.4,18343.0,486.0,1185.0,-31.0,-0.91,-12.7,-0.37,52.6,2022-2023,31.0,63,29.2,37.9,1199.0
Paços de Ferreira,34,6,5,23,26,-36,23,56.0,-23.2,17,42,523.0,3,8.8,64.1,167.0,56.9,-1.1,36.0,394.0,121.0,30.7,32.9,77.5,215792.0,83061.0,17.0,292.0,14541.0,39.0,152.0,699.0,20.56,44.0,1.29,487.0,330.0,347.0,817.0,656.0,46.5,18106.0,523.0,1029.0,-36.0,-1.06,-23.2,-0.68,45.7,2022-2023,25.0,62,24.1,30.5,1040.0
Santa Clara,34,5,7,22,26,-32,22,51.7,-16.5,18,44,402.0,5,14.7,68.1,160.0,55.9,0.9,33.0,353.0,111.0,31.4,35.2,72.2,184185.0,77502.0,18.0,245.0,12905.0,39.0,117.0,593.0,17.44,43.0,1.26,546.0,314.0,366.0,860.0,735.0,42.4,16791.0,402.0,908.0,-32.0,-0.94,-16.5,-0.48,49.4,2022-2023,26.0,58,22.9,29.7,919.0
Porto,34,29,4,1,86,64,91,22.9,60.4,54,137,686.0,16,47.1,71.8,71.0,23.9,1.9,43.0,595.0,214.0,36.0,83.3,82.7,281824.0,96681.0,54.0,446.0,19569.0,100.0,131.0,1058.0,31.12,141.0,4.15,553.0,323.0,299.0,876.0,407.0,62.6,23187.0,686.0,1539.0,64.0,1.88,60.4,1.78,50.8,2021-2022,83.0,22,59.3,76.9,1554.0
Sporting CP,34,27,4,3,73,50,85,22.6,48.4,45,116,705.0,18,52.9,73.2,82.0,23.7,2.7,36.0,531.0,196.0,36.9,71.0,83.3,293023.0,96142.0,45.0,394.0,19896.0,57.0,176.0,944.0,27.76,125.0,3.68,567.0,341.0,331.0,908.0,427.0,59.8,23381.0,705.0,1555.0,50.0,1.47,48.4,1.42,52.9,2021-2022,71.0,23,48.6,62.7,1563.0
Benfica,34,23,5,6,78,48,74,32.4,40.7,58,135,800.0,12,35.3,73.4,109.0,34.8,5.8,31.0,514.0,190.0,37.0,73.1,84.0,294149.0,97191.0,58.0,402.0,19789.0,75.0,133.0,915.0,26.91,131.0,3.85,551.0,319.0,347.0,870.0,449.0,60.9,23364.0,800.0,1808.0,48.0,1.41,40.7,1.2,54.0,2021-2022,77.0,30,54.9,69.1,1819.0
Braga,34,19,8,7,52,21,65,36.7,16.4,34,86,568.0,16,47.1,75.4,118.0,32.1,2.1,48.0,448.0,156.0,34.8,53.1,79.7,279751.0,92693.0,34.0,356.0,18609.0,62.0,163.0,789.0,23.21,87.0,2.56,470.0,336.0,344.0,806.0,550.0,53.7,22136.0,568.0,1379.0,21.0,0.62,16.4,0.48,49.7,2021-2022,52.0,31,37.1,48.3,1391.0
Gil Vicente FC,34,13,12,9,47,5,51,47.2,-5.0,32,79,479.0,11,32.4,76.6,145.0,44.4,4.4,44.0,422.0,153.0,36.3,42.2,80.0,267552.0,92922.0,32.0,313.0,17410.0,58.0,212.0,738.0,21.71,84.0,2.47,430.0,282.0,323.0,712.0,633.0,54.4,20813.0,479.0,1416.0,5.0,0.15,-5.0,-0.15,50.6,2021-2022,47.0,42,31.3,38.5,1429.0
Vitória,34,13,9,12,50,9,48,47.6,1.7,25,75,534.0,8,23.5,75.0,144.0,47.3,6.3,34.0,458.0,142.0,31.0,49.3,77.1,220936.0,81315.0,25.0,322.0,14962.0,22.0,206.0,811.0,23.85,85.0,2.5,470.0,322.0,279.0,792.0,554.0,48.7,18413.0,534.0,1258.0,9.0,0.26,1.7,0.05,49.3,2021-2022,50.0,41,31.8,42.8,1273.0
Santa Clara,34,9,13,12,38,-16,40,41.1,-2.7,22,58,384.0,8,23.5,67.8,143.0,45.8,-8.2,21.0,369.0,109.0,29.5,38.4,75.6,206207.0,81040.0,22.0,247.0,14029.0,41.0,131.0,602.0,17.71,56.0,1.65,524.0,378.0,322.0,902.0,657.0,45.8,17681.0,384.0,956.0,-16.0,-0.47,-2.7,-0.08,49.0,2021-2022,36.0,54,26.9,35.2,967.0
Famalicão,34,9,12,13,45,-6,39,44.7,2.7,32,75,519.0,9,26.5,68.1,141.0,43.7,-5.3,75.0,399.0,141.0,35.3,47.4,77.8,223553.0,86354.0,32.0,289.0,14675.0,46.0,172.0,704.0,20.71,75.0,2.21,550.0,404.0,344.0,954.0,704.0,47.4,18555.0,519.0,1184.0,-6.0,-0.18,2.7,0.08,51.1,2021-2022,43.0,51,32.9,44.2,1201.0
Estoril,34,9,12,13,36,-7,39,49.2,-13.5,25,60,501.0,11,32.4,72.2,144.0,39.3,-1.7,21.0,349.0,108.0,30.9,35.6,78.5,225491.0,78664.0,25.0,253.0,14765.0,33.0,125.0,624.0,18.35,58.0,1.71,447.0,298.0,348.0,745.0,636.0,47.4,18108.0,501.0,1166.0,-7.0,-0.21,-13.5,-0.4,49.5,2021-2022,35.0,43,24.1,30.2,1176.0
Marítimo,34,9,11,14,39,-5,38,54.7,-19.9,21,59,466.0,9,26.5,76.3,156.0,49.0,5.0,36.0,351.0,112.0,31.9,34.7,77.7,230848.0,86304.0,21.0,246.0,14954.0,25.0,122.0,588.0,17.29,62.0,1.82,585.0,343.0,382.0,928.0,642.0,48.7,18749.0,466.0,988.0,-5.0,-0.15,-19.9,-0.59,52.9,2021-2022,38.0,44,22.0,29.9,996.0
Paços de Ferreira,34,9,11,14,29,-15,38,53.3,-19.4,17,45,420.0,10,29.4,76.9,173.0,52.7,8.7,47.0,363.0,98.0,27.0,33.9,76.7,221718.0,83807.0,17.0,244.0,14804.0,21.0,153.0,627.0,18.44,49.0,1.44,492.0,376.0,328.0,868.0,637.0,49.0,18238.0,420.0,981.0,-15.0,-0.44,-19.4,-0.57,47.4,2021-2022,28.0,44,21.3,30.0,992.0
Boavista,34,7,17,10,39,-13,38,46.8,-11.5,28,67,477.0,6,17.6,66.7,138.0,46.1,-4.9,61.0,386.0,118.0,30.6,35.3,75.7,204104.0,78061.0,28.0,288.0,13988.0,26.0,120.0,654.0,19.24,65.0,1.91,567.0,379.0,336.0,946.0,646.0,44.6,17809.0,477.0,829.0,-13.0,-0.38,-11.5,-0.34,50.4,2021-2022,39.0,52,24.3,32.2,841.0
Portimonense,34,10,8,16,31,-14,38,53.0,-18.5,18,46,462.0,10,29.4,73.0,159.0,51.4,8.4,24.0,394.0,125.0,31.7,34.5,76.4,225169.0,86132.0,18.0,299.0,14717.0,21.0,117.0,681.0,20.03,45.0,1.32,473.0,355.0,344.0,828.0,669.0,48.5,18422.0,462.0,1049.0,-14.0,-0.41,-18.5,-0.54,52.7,2021-2022,28.0,45,23.8,31.4,1056.0
Vizela,34,7,12,15,37,-21,33,54.1,-12.7,23,59,418.0,2,5.9,68.2,154.0,51.6,-4.4,20.0,445.0,112.0,25.2,41.5,73.6,184230.0,76044.0,23.0,299.0,13836.0,24.0,80.0,762.0,22.41,60.0,1.76,534.0,384.0,314.0,918.0,695.0,44.8,17492.0,418.0,1160.0,-21.0,-0.62,-12.7,-0.37,47.2,2021-2022,36.0,58,27.8,39.1,1167.0
Arouca,34,7,10,17,30,-24,31,53.3,-18.1,18,48,410.0,5,14.7,65.8,146.0,53.5,1.5,65.0,428.0,118.0,27.6,35.1,75.0,218726.0,86591.0,18.0,292.0,15285.0,35.0,117.0,719.0,21.15,47.0,1.38,496.0,355.0,316.0,851.0,616.0,49.9,18985.0,410.0,1174.0,-24.0,-0.71,-18.1,-0.53,48.4,2021-2022,30.0,54,23.9,32.7,1187.0
Moreirense,34,7,8,19,33,-18,29,43.7,-0.6,19,51,434.0,4,11.8,67.4,141.0,49.8,-1.2,46.0,400.0,123.0,30.8,43.2,70.8,179411.0,72213.0,19.0,243.0,13209.0,22.0,147.0,661.0,19.44,58.0,1.71,502.0,311.0,317.0,813.0,674.0,44.4,16846.0,434.0,1020.0,-18.0,-0.53,-0.6,-0.02,50.6,2021-2022,32.0,51,24.3,37.6,1029.0
Tondela,34,7,7,20,41,-26,28,57.8,-22.8,25,66,413.0,2,5.9,68.6,188.0,64.7,-1.3,27.0,291.0,112.0,38.5,35.1,75.5,203209.0,82052.0,25.0,213.0,14260.0,40.0,116.0,520.0,15.29,73.0,2.15,586.0,348.0,318.0,934.0,669.0,45.9,17890.0,413.0,961.0,-26.0,-0.76,-22.8,-0.67,46.0,2021-2022,41.0,67,22.0,28.4,964.0
B-SAD,34,5,11,18,23,-32,26,56.4,-25.5,11,33,329.0,8,23.5,69.9,166.0,58.1,4.1,30.0,323.0,88.0,27.2,30.9,74.2,185619.0,73724.0,11.0,212.0,13251.0,22.0,109.0,548.0,16.12,39.0,1.15,455.0,334.0,374.0,789.0,679.0,43.5,16702.0,329.0,846.0,-32.0,-0.94,-25.5,-0.75,48.5,2021-2022,22.0,55,20.7,28.6,850.0
Sporting CP,34,26,7,1,65,45,85,24.6,38.0,36,100,594.0,20,58.8,75.3,77.0,21.0,2.0,43.0,468.0,148.0,31.6,62.6,79.4,257880.0,89999.0,36.0,340.0,17780.0,35.0,162.0,806.0,23.71,107.0,3.15,526.0,448.0,285.0,974.0,432.0,57.2,21324.0,594.0,1234.0,45.0,1.32,38.0,1.12,54.8,2020-2021,64.0,20,42.9,55.0,1244.0
Porto,34,24,8,2,74,45,80,30.3,35.3,50,122,638.0,16,47.1,71.1,90.0,29.9,0.9,57.0,468.0,170.0,36.3,65.6,80.7,270610.0,99935.0,50.0,349.0,18799.0,29.0,139.0,843.0,24.79,129.0,3.79,486.0,319.0,299.0,805.0,467.0,60.6,22341.0,638.0,1634.0,45.0,1.32,35.3,1.04,52.2,2020-2021,72.0,29,43.2,53.1,1645.0
Benfica,34,23,7,4,69,42,76,31.9,37.8,56,121,766.0,15,44.1,78.6,112.0,33.5,7.5,53.0,470.0,171.0,36.4,69.7,82.9,304648.0,105059.0,56.0,396.0,21049.0,42.0,99.0,859.0,25.26,120.0,3.53,488.0,385.0,307.0,873.0,435.0,62.6,24663.0,766.0,1916.0,42.0,1.24,37.8,1.11,54.7,2020-2021,65.0,27,61.3,68.1,1932.0
Braga,34,19,7,8,53,20,64,35.6,19.4,36,89,583.0,11,32.4,69.1,97.0,33.7,0.7,88.0,469.0,156.0,33.3,55.0,80.1,302240.0,101825.0,36.0,360.0,19257.0,34.0,248.0,826.0,24.29,84.0,2.47,508.0,400.0,300.0,908.0,505.0,57.1,22530.0,583.0,1589.0,20.0,0.59,19.4,0.57,51.8,2020-2021,53.0,33,42.6,50.3,1598.0
Paços de Ferreira,34,15,8,11,40,-1,53,42.3,-5.5,25,64,397.0,9,26.5,71.6,116.0,36.3,-4.7,35.0,363.0,121.0,33.3,36.8,74.7,208143.0,80028.0,25.0,265.0,14242.0,14.0,184.0,629.0,18.5,68.0,2.0,581.0,417.0,345.0,998.0,643.0,46.1,17809.0,397.0,911.0,-1.0,-0.03,-5.5,-0.16,50.2,2020-2021,39.0,41,23.4,32.5,919.0
Santa Clara,34,13,7,14,44,8,46,39.2,5.9,25,66,420.0,10,29.4,72.1,111.0,33.3,-0.7,28.0,362.0,118.0,32.6,45.0,74.1,212013.0,83551.0,25.0,235.0,13966.0,11.0,124.0,604.0,17.76,68.0,2.0,533.0,385.0,383.0,918.0,694.0,47.9,17578.0,420.0,1047.0,8.0,0.24,5.9,0.17,46.3,2020-2021,41.0,36,29.1,37.9,1061.0
Vitória,34,12,7,15,37,-7,43,43.0,-6.1,21,57,572.0,12,35.3,72.3,148.0,44.4,0.4,44.0,342.0,105.0,30.7,36.9,77.7,232736.0,82004.0,21.0,230.0,15604.0,17.0,194.0,596.0,17.53,60.0,1.76,470.0,424.0,308.0,894.0,623.0,49.0,19159.0,572.0,1181.0,-7.0,-0.21,-6.1,-0.18,45.7,2020-2021,36.0,44,24.3,32.9,1191.0
Moreirense,34,10,13,11,37,-6,43,54.7,-17.9,19,51,460.0,9,26.5,75.7,152.0,50.5,9.5,21.0,324.0,100.0,30.9,36.9,75.3,210118.0,80265.0,19.0,225.0,14504.0,14.0,199.0,547.0,16.09,48.0,1.41,528.0,402.0,344.0,930.0,561.0,47.3,18111.0,460.0,1018.0,-6.0,-0.18,-17.9,-0.53,50.7,2020-2021,32.0,43,24.4,33.0,1024.0
Famalicão,34,10,10,14,40,-8,40,40.3,-2.6,22,62,524.0,9,26.5,65.4,130.0,43.4,-2.6,56.0,381.0,119.0,31.2,37.7,78.6,237028.0,82272.0,22.0,257.0,15757.0,13.0,180.0,652.0,19.18,66.0,1.94,524.0,424.0,314.0,948.0,627.0,51.0,19387.0,524.0,1097.0,-8.0,-0.24,-2.6,-0.08,47.8,2020-2021,40.0,48,21.8,32.1,1112.0
B-SAD,34,9,13,12,25,-10,40,48.1,-14.2,14,39,375.0,13,38.2,81.9,149.0,43.7,9.7,66.0,325.0,103.0,31.7,33.9,71.1,188917.0,78562.0,14.0,217.0,13970.0,12.0,151.0,541.0,15.91,39.0,1.15,535.0,405.0,339.0,940.0,719.0,45.3,17598.0,375.0,1014.0,-10.0,-0.29,-14.2,-0.42,46.3,2020-2021,25.0,35,22.1,30.7,1028.0
Gil Vicente FC,34,11,6,17,33,-9,39,41.5,-3.5,18,50,475.0,11,32.4,68.5,124.0,39.4,2.4,28.0,341.0,107.0,31.4,38.0,75.3,233509.0,86777.0,18.0,250.0,15280.0,24.0,174.0,611.0,17.97,55.0,1.62,461.0,373.0,339.0,834.0,628.0,47.9,18582.0,475.0,1158.0,-9.0,-0.26,-3.5,-0.1,49.6,2020-2021,32.0,42,24.4,30.9,1169.0
Tondela,34,10,6,18,36,-21,36,56.8,-22.8,28,64,402.0,6,17.6,67.7,167.0,58.0,2.0,44.0,324.0,110.0,34.0,34.0,75.4,217555.0,84353.0,28.0,240.0,15126.0,29.0,148.0,550.0,16.18,63.0,1.85,528.0,401.0,327.0,929.0,664.0,47.4,18705.0,402.0,1094.0,-21.0,-0.62,-22.8,-0.67,48.6,2020-2021,36.0,57,24.4,30.3,1101.0
Boavista,34,8,12,14,39,-10,36,54.0,-15.4,27,63,484.0,9,26.5,70.7,147.0,52.3,4.3,31.0,379.0,133.0,35.1,38.5,74.4,182049.0,71744.0,27.0,260.0,12966.0,21.0,122.0,665.0,19.56,64.0,1.88,540.0,478.0,304.0,1018.0,759.0,43.4,16760.0,484.0,874.0,-10.0,-0.29,-15.4,-0.45,48.4,2020-2021,36.0,49,26.1,36.2,882.0
Portimonense,34,9,8,17,34,-7,35,38.8,-1.2,24,57,413.0,11,32.4,69.9,123.0,36.1,-1.9,42.0,374.0,105.0,28.1,37.6,74.3,235590.0,90335.0,24.0,266.0,15455.0,19.0,125.0,639.0,18.79,55.0,1.62,540.0,485.0,328.0,1025.0,693.0,51.0,19264.0,413.0,1122.0,-7.0,-0.21,-1.2,-0.04,52.9,2020-2021,33.0,41,26.4,34.5,1133.0
Marítimo,34,10,5,19,27,-20,35,50.2,-14.8,17,44,428.0,10,29.4,70.3,145.0,52.0,7.0,40.0,341.0,104.0,30.5,35.4,73.2,197642.0,76720.0,17.0,227.0,13281.0,17.0,167.0,552.0,16.24,43.0,1.26,540.0,370.0,367.0,910.0,690.0,44.4,16926.0,428.0,819.0,-20.0,-0.59,-14.8,-0.44,54.5,2020-2021,27.0,47,23.8,32.5,823.0
Rio Ave,34,7,13,14,25,-15,34,43.2,-7.1,15,39,557.0,11,32.4,69.6,125.0,41.7,3.7,55.0,354.0,114.0,32.2,36.2,79.0,250318.0,87902.0,15.0,244.0,16602.0,23.0,172.0,603.0,17.74,38.0,1.12,516.0,378.0,312.0,894.0,567.0,51.8,20086.0,557.0,1155.0,-15.0,-0.44,-7.1,-0.21,48.0,2020-2021,24.0,40,23.6,32.1,1160.0
Farense,34,7,10,17,31,-17,31,44.5,-2.2,18,48,340.0,6,17.6,69.4,134.0,44.3,-3.7,28.0,360.0,109.0,30.3,42.3,67.5,179728.0,78700.0,18.0,243.0,12255.0,12.0,124.0,608.0,17.88,47.0,1.38,482.0,442.0,365.0,924.0,585.0,43.2,15755.0,340.0,918.0,-17.0,-0.5,-2.2,-0.06,50.8,2020-2021,30.0,48,25.8,35.9,928.0
Nacional,34,6,7,21,30,-29,25,56.0,-23.1,23,51,462.0,7,20.6,68.3,164.0,57.5,1.5,41.0,373.0,117.0,31.4,32.9,72.9,192906.0,76022.0,23.0,250.0,13610.0,11.0,129.0,627.0,18.44,51.0,1.5,500.0,423.0,390.0,923.0,706.0,46.9,17339.0,462.0,912.0,-29.0,-0.85,-23.1,-0.68,46.8,2020-2021,28.0,59,23.3,31.3,916.0
Porto,34,26,4,4,74,52,82,25.1,40.4,48,119,636.0,19,55.9,72.7,77.0,20.5,-1.5,33.0,484.0,177.0,36.6,65.5,81.0,275477.0,98478.0,48.0,369.0,18078.0,39.0,170.0,868.0,25.53,121.0,3.56,522.0,377.0,280.0,899.0,476.0,59.5,21607.0,636.0,1533.0,52.0,1.53,40.4,1.19,54.5,2019-2020,71.0,22,45.1,54.5,1545.0
Benfica,34,24,5,5,71,45,77,32.1,35.6,52,119,678.0,17,50.0,77.5,102.0,31.5,7.5,55.0,519.0,177.0,34.1,67.7,81.0,289264.0,103264.0,52.0,394.0,19297.0,31.0,164.0,922.0,27.12,119.0,3.5,628.0,373.0,289.0,1001.0,474.0,57.8,22855.0,678.0,1783.0,45.0,1.32,35.6,1.05,56.6,2019-2020,67.0,26,49.9,60.7,1794.0
Braga,34,18,6,10,61,21,60,41.5,19.6,41,102,640.0,8,23.5,72.6,124.0,40.0,2.0,50.0,516.0,183.0,35.5,61.1,79.7,288583.0,102089.0,41.0,396.0,18655.0,35.0,198.0,921.0,27.09,103.0,3.03,530.0,327.0,289.0,857.0,479.0,58.5,21947.0,640.0,1654.0,21.0,0.62,19.6,0.58,52.6,2019-2020,61.0,40,46.0,57.9,1673.0
Sporting CP,34,18,6,10,49,15,60,36.1,13.0,24,71,616.0,12,35.3,74.8,111.0,38.1,5.1,33.0,459.0,128.0,27.9,49.1,82.1,281075.0,97715.0,24.0,345.0,18225.0,42.0,174.0,814.0,23.94,80.0,2.35,551.0,305.0,301.0,856.0,520.0,58.4,21626.0,616.0,1461.0,15.0,0.44,13.0,0.38,53.0,2019-2020,47.0,34,34.8,42.8,1476.0
Rio Ave,34,15,10,9,48,12,55,35.0,18.7,27,74,600.0,11,32.4,72.7,121.0,33.0,-3.0,53.0,355.0,101.0,28.5,53.7,79.5,284164.0,101366.0,27.0,274.0,18300.0,22.0,250.0,665.0,19.56,82.0,2.41,526.0,343.0,278.0,869.0,625.0,55.7,21555.0,600.0,1373.0,12.0,0.35,18.7,0.55,51.3,2019-2020,47.0,36,34.1,43.1,1389.0
Famalicão,34,14,12,8,53,2,54,52.8,-5.5,32,83,556.0,7,20.6,66.7,138.0,49.0,-2.0,39.0,436.0,153.0,35.1,47.3,78.4,246668.0,89192.0,32.0,299.0,15847.0,27.0,209.0,749.0,22.03,85.0,2.5,569.0,340.0,298.0,909.0,677.0,52.6,19390.0,556.0,1242.0,2.0,0.06,-5.5,-0.16,47.6,2019-2020,51.0,51,29.7,40.9,1253.0
Vitória,34,13,11,10,53,15,50,36.8,17.4,38,91,763.0,11,32.4,65.4,107.0,33.1,-2.9,49.0,508.0,152.0,29.9,54.2,76.9,229240.0,89151.0,38.0,369.0,15278.0,15.0,183.0,904.0,26.59,93.0,2.74,541.0,347.0,300.0,888.0,524.0,50.7,18761.0,763.0,1616.0,15.0,0.44,17.4,0.51,50.6,2019-2020,53.0,38,37.0,48.7,1623.0
Moreirense,34,10,13,11,42,-2,43,57.3,-16.8,34,76,482.0,8,23.5,77.0,152.0,47.0,5.0,24.0,334.0,108.0,32.3,40.5,72.6,192988.0,80624.0,34.0,256.0,12902.0,22.0,165.0,583.0,17.15,74.0,2.18,552.0,389.0,330.0,941.0,818.0,44.1,16568.0,482.0,1009.0,-2.0,-0.06,-16.8,-0.49,52.2,2019-2020,42.0,44,32.3,37.5,1021.0
Santa Clara,34,11,10,13,36,-5,43,47.8,-2.5,21,55,364.0,10,29.4,74.3,136.0,44.7,4.7,19.0,369.0,113.0,30.6,45.3,70.4,197633.0,78061.0,21.0,232.0,13189.0,16.0,185.0,594.0,17.47,57.0,1.68,540.0,354.0,328.0,894.0,805.0,46.1,16777.0,364.0,956.0,-5.0,-0.15,-2.5,-0.07,47.5,2019-2020,34.0,41,29.5,40.9,963.0
Gil Vicente FC,34,11,10,13,40,-4,43,41.3,-3.1,26,66,482.0,8,23.5,65.5,119.0,37.6,-3.4,24.0,346.0,136.0,39.3,38.2,74.1,221103.0,87758.0,26.0,255.0,13945.0,13.0,176.0,622.0,18.29,69.0,2.03,543.0,381.0,310.0,924.0,611.0,47.5,17318.0,482.0,1133.0,-4.0,-0.12,-3.1,-0.09,45.6,2019-2020,40.0,44,25.5,33.5,1152.0
Marítimo,34,9,12,13,34,-8,39,48.3,-11.6,13,45,447.0,11,32.4,72.8,136.0,43.0,2.0,30.0,357.0,108.0,30.3,36.6,74.5,207463.0,82189.0,13.0,247.0,14004.0,20.0,134.0,602.0,17.71,53.0,1.56,532.0,347.0,338.0,879.0,764.0,47.1,17748.0,447.0,921.0,-8.0,-0.24,-11.6,-0.34,47.7,2019-2020,32.0,42,24.9,33.5,933.0
Boavista,34,10,9,15,28,-11,39,41.6,-8.5,16,42,372.0,9,26.5,75.9,137.0,41.3,4.3,20.0,397.0,118.0,29.7,33.0,70.5,175331.0,74618.0,16.0,251.0,12178.0,4.0,181.0,661.0,19.44,46.0,1.35,573.0,346.0,301.0,919.0,813.0,42.8,15824.0,372.0,891.0,-11.0,-0.32,-8.5,-0.25,49.4,2019-2020,26.0,39,20.3,29.9,902.0
Paços de Ferreira,34,11,6,17,36,-16,39,46.4,-11.4,22,56,425.0,6,17.6,66.7,132.0,48.3,-2.7,47.0,406.0,112.0,27.6,35.0,71.2,195152.0,82568.0,22.0,282.0,13013.0,11.0,148.0,680.0,20.0,60.0,1.76,525.0,328.0,283.0,853.0,683.0,46.9,16472.0,425.0,1123.0,-16.0,-0.47,-11.4,-0.34,49.4,2019-2020,34.0,52,24.4,31.8,1137.0
